event_id,load_id,trip_id,event_type,facility_id,scheduled_datetime,actual_datetime,detention_minutes,on_time_flag,location_city,location_state
EVT00000058,LOAD00000029,TRIP00000029,Delivery,FAC00019,"2022-01-02 19:17:07.173021","2022-01-02 21:19:02.599533",190,False,Denver,CO
EVT00000059,LOAD00000030,TRIP00000030,Pickup,FAC00048,"2022-01-01 17:00:00.000000","2022-01-01 20:53:35.882590",156,False,"New York",NY
EVT00000060,LOAD00000030,TRIP00000030,Delivery,FAC00035,"2022-01-01 22:29:35.882590","2022-01-01 22:48:56.544464",36,True,Philadelphia,PA
EVT00000061,LOAD00000031,TRIP00000031,Pickup,FAC00010,"2022-01-01 10:00:00.000000","2022-01-01 10:16:35.087205",147,True,Charlotte,NC
EVT00000062,LOAD00000031,TRIP00000031,Delivery,FAC00002,"2022-01-03 10:16:35.087205","2022-01-03 16:11:38.741326",162,False,Seattle,WA
EVT00000063,LOAD00000032,TRIP00000032,Pickup,FAC00035,"2022-01-01 17:00:00.000000","2022-01-01 20:11:54.093586",75,False,Chicago,IL
EVT00000064,LOAD00000032,TRIP00000032,Delivery,FAC00041,"2022-01-02 08:05:54.093586","2022-01-02 12:30:12.723659",131,False,Charlotte,NC
EVT00000065,LOAD00000033,TRIP00000033,Pickup,FAC00023,"2022-01-01 18:00:00.000000","2022-01-01 21:46:10.367559",35,False,Portland,OR
EVT00000066,LOAD00000033,TRIP00000033,Delivery,FAC00001,"2022-01-02 00:58:10.367559","2022-01-02 01:29:10.689963",235,True,Seattle,WA
EVT00000067,LOAD00000034,TRIP00000034,Pickup,FAC00016,"2022-01-01 12:00:00.000000","2022-01-01 12:23:44.880918",24,True,Portland,OR
EVT00000068,LOAD00000034,TRIP00000034,Delivery,FAC00046,"2022-01-03 05:17:44.880918","2022-01-03 03:50:06.436766",35,True,Columbus,OH
EVT00000069,LOAD00000035,TRIP00000035,Pickup,FAC00032,"2022-01-01 14:00:00.000000","2022-01-01 15:48:25.607510",107,True,Miami,FL
EVT00000070,LOAD00000035,TRIP00000035,Delivery,FAC00007,"2022-01-03 00:30:25.607510","2022-01-02 21:32:14.921717",93,False,Denver,CO
EVT00000071,LOAD00000036,TRIP00000036,Pickup,FAC00023,"2022-01-01 12:00:00.000000","2022-01-01 11:51:02.125868",170,True,Houston,TX
EVT00000072,LOAD00000036,TRIP00000036,Delivery,FAC00048,"2022-01-03 06:39:02.125868","2022-01-03 06:42:23.240106",103,True,Seattle,WA
EVT00000073,LOAD00000037,TRIP00000037,Pickup,FAC00036,"2022-01-01 18:00:00.000000","2022-01-01 16:47:25.192341",160,True,"Kansas City",MO
EVT00000074,LOAD00000037,TRIP00000037,Delivery,FAC00012,"2022-01-02 19:17:25.192341","2022-01-03 00:47:38.822831",90,False,Miami,FL
EVT00000075,LOAD00000038,TRIP00000038,Pickup,FAC00032,"2022-01-01 07:00:00.000000","2022-01-01 07:13:31.629502",0,True,Houston,TX
EVT00000076,LOAD00000038,TRIP00000038,Delivery,FAC00033,"2022-01-01 16:49:31.629502","2022-01-01 14:23:37.541535",197,False,Memphis,TN
EVT00000077,LOAD00000039,TRIP00000039,Pickup,FAC00020,"2022-01-01 14:00:00.000000","2022-01-01 12:48:59.410517",141,True,Miami,FL
EVT00000078,LOAD00000039,TRIP00000039,Delivery,FAC00047,"2022-01-03 22:30:59.410517","2022-01-03 19:53:06.882320",0,False,Seattle,WA
EVT00000079,LOAD00000040,TRIP00000040,Pickup,FAC00026,"2022-01-01 11:00:00.000000","2022-01-01 13:43:26.175764",93,False,Philadelphia,PA
EVT00000080,LOAD00000040,TRIP00000040,Delivery,FAC00031,"2022-01-03 11:13:26.175764","2022-01-03 08:19:25.540425",46,False,Seattle,WA
EVT00000081,LOAD00000041,TRIP00000041,Pickup,FAC00046,"2022-01-01 08:00:00.000000","2022-01-01 10:46:34.470538",126,False,Dallas,TX
EVT00000082,LOAD00000041,TRIP00000041,Delivery,FAC00011,"2022-01-02 18:46:34.470538","2022-01-02 16:48:55.199275",4,True,"New York",NY
EVT00000083,LOAD00000042,TRIP00000042,Pickup,FAC00039,"2022-01-01 18:00:00.000000","2022-01-01 17:06:48.685959",27,True,Portland,OR
EVT00000084,LOAD00000042,TRIP00000042,Delivery,FAC00005,"2022-01-01 20:12:48.685959","2022-01-01 22:41:49.594491",139,False,Seattle,WA
EVT00000085,LOAD00000043,TRIP00000043,Pickup,FAC00048,"2022-01-01 12:00:00.000000","2022-01-01 14:59:03.019278",173,False,Charlotte,NC
EVT00000086,LOAD00000043,TRIP00000043,Delivery,FAC00019,"2022-01-03 15:35:03.019278","2022-01-03 17:02:20.361784",137,True,Seattle,WA
EVT00000087,LOAD00000044,TRIP00000044,Pickup,FAC00026,"2022-01-01 08:00:00.000000","2022-01-01 09:20:56.290618",172,True,"Kansas City",MO
EVT00000088,LOAD00000044,TRIP00000044,Delivery,FAC00043,"2022-01-02 20:08:56.290618","2022-01-02 18:52:19.626274",26,True,Portland,OR
EVT00000089,LOAD00000045,TRIP00000045,Pickup,FAC00003,"2022-01-01 16:00:00.000000","2022-01-01 19:11:41.615504",0,False,Denver,CO
EVT00000090,LOAD00000045,TRIP00000045,Delivery,FAC00022,"2022-01-02 06:35:41.615504","2022-01-02 08:18:56.216888",173,True,"Kansas City",MO
EVT00000091,LOAD00000046,TRIP00000046,Pickup,FAC00013,"2022-01-01 07:00:00.000000","2022-01-01 08:16:57.260139",136,True,Portland,OR
EVT00000092,LOAD00000046,TRIP00000046,Delivery,FAC00026,"2022-01-01 11:16:57.260139","2022-01-01 17:00:14.675465",185,False,Seattle,WA
EVT00000093,LOAD00000047,TRIP00000047,Pickup,FAC00030,"2022-01-01 10:00:00.000000","2022-01-01 09:09:51.533589",81,True,Houston,TX
EVT00000094,LOAD00000047,TRIP00000047,Delivery,FAC00024,"2022-01-02 19:51:51.533589","2022-01-02 20:04:56.997020",5,True,Seattle,WA
EVT00000095,LOAD00000048,TRIP00000048,Pickup,FAC00048,"2022-01-01 15:00:00.000000","2022-01-01 17:29:43.019906",6,False,"Kansas City",MO
EVT00000096,LOAD00000048,TRIP00000048,Delivery,FAC00032,"2022-01-02 09:47:43.019906","2022-01-02 10:58:11.948998",61,True,Atlanta,GA
EVT00000097,LOAD00000049,TRIP00000049,Pickup,FAC00012,"2022-01-01 17:00:00.000000","2022-01-01 15:17:44.020438",20,True,Minneapolis,MN
EVT00000098,LOAD00000049,TRIP00000049,Delivery,FAC00046,"2022-01-02 15:05:44.020438","2022-01-02 14:30:15.385861",0,True,Houston,TX
EVT00000099,LOAD00000050,TRIP00000050,Pickup,FAC00048,"2022-01-01 14:00:00.000000","2022-01-01 16:24:06.315168",68,False,"Las Vegas",NV
EVT00000100,LOAD00000050,TRIP00000050,Delivery,FAC00045,"2022-01-01 20:54:06.315168","2022-01-01 22:49:12.331321",65,True,"Los Angeles",CA
EVT00000101,LOAD00000051,TRIP00000051,Pickup,FAC00048,"2022-01-01 16:00:00.000000","2022-01-01 16:43:49.407217",0,True,"Kansas City",MO
EVT00000102,LOAD00000051,TRIP00000051,Delivery,FAC00001,"2022-01-02 06:01:49.407217","2022-01-02 10:12:37.457821",82,False,Atlanta,GA
EVT00000103,LOAD00000052,TRIP00000052,Pickup,FAC00035,"2022-01-01 15:00:00.000000","2022-01-01 18:04:25.810709",22,False,Charlotte,NC
EVT00000104,LOAD00000052,TRIP00000052,Delivery,FAC00018,"2022-01-03 01:34:25.810709","2022-01-03 05:35:08.328846",37,False,Denver,CO
EVT00000105,LOAD00000053,TRIP00000053,Pickup,FAC00025,"2022-01-01 09:00:00.000000","2022-01-01 08:24:52.640086",116,True,"Kansas City",MO
EVT00000106,LOAD00000053,TRIP00000053,Delivery,FAC00024,"2022-01-01 23:12:52.640086","2022-01-02 04:57:51.215056",51,False,Atlanta,GA
EVT00000107,LOAD00000054,TRIP00000054,Pickup,FAC00045,"2022-01-01 09:00:00.000000","2022-01-01 10:43:03.945992",65,True,Charlotte,NC
EVT00000108,LOAD00000054,TRIP00000054,Delivery,FAC00002,"2022-01-01 20:25:03.945992","2022-01-01 19:39:44.218940",0,True,Memphis,TN
EVT00000109,LOAD00000055,TRIP00000055,Pickup,FAC00016,"2022-01-01 10:00:00.000000","2022-01-01 10:37:07.933358",129,True,Charlotte,NC
EVT00000110,LOAD00000055,TRIP00000055,Delivery,FAC00045,"2022-01-03 03:31:07.933358","2022-01-03 05:57:14.385350",110,False,Seattle,WA
EVT00000111,LOAD00000056,TRIP00000056,Pickup,FAC00002,"2022-01-01 17:00:00.000000","2022-01-01 16:32:43.281530",82,True,"Las Vegas",NV
EVT00000112,LOAD00000056,TRIP00000056,Delivery,FAC00028,"2022-01-02 16:32:43.281530","2022-01-02 15:08:57.878182",14,True,Dallas,TX
EVT00000113,LOAD00000057,TRIP00000057,Pickup,FAC00010,"2022-01-01 16:00:00.000000","2022-01-01 16:44:20.731602",70,True,Memphis,TN
EVT00000114,LOAD00000057,TRIP00000057,Delivery,FAC00044,"2022-01-03 02:38:20.731602","2022-01-03 01:42:31.576071",38,True,"Los Angeles",CA
EVT00000115,LOAD00000058,TRIP00000058,Pickup,FAC00013,"2022-01-01 10:00:00.000000","2022-01-01 11:55:32.129982",0,True,Dallas,TX
EVT00000116,LOAD00000058,TRIP00000058,Delivery,FAC00028,"2022-01-02 01:01:32.129982","2022-01-02 01:38:07.424463",211,True,Denver,CO
EVT00000117,LOAD00000059,TRIP00000059,Pickup,FAC00048,"2022-01-01 08:00:00.000000","2022-01-01 08:08:49.912143",90,True,"Kansas City",MO
EVT00000118,LOAD00000059,TRIP00000059,Delivery,FAC00026,"2022-01-02 11:50:49.912143","2022-01-02 10:51:53.563739",21,True,Portland,OR
EVT00000119,LOAD00000060,TRIP00000060,Pickup,FAC00050,"2022-01-01 12:00:00.000000","2022-01-01 10:11:31.644086",173,True,Denver,CO
EVT00000120,LOAD00000060,TRIP00000060,Delivery,FAC00036,"2022-01-01 20:47:31.644086","2022-01-01 22:24:04.328466",44,True,"Kansas City",MO
EVT00000121,LOAD00000061,TRIP00000061,Pickup,FAC00002,"2022-01-01 13:00:00.000000","2022-01-01 13:54:27.607711",17,True,"Las Vegas",NV
EVT00000122,LOAD00000061,TRIP00000061,Delivery,FAC00040,"2022-01-02 11:18:27.607711","2022-01-02 10:06:29.928527",182,True,"Kansas City",MO
EVT00000123,LOAD00000062,TRIP00000062,Pickup,FAC00031,"2022-01-01 11:00:00.000000","2022-01-01 13:52:14.063151",157,False,Phoenix,AZ
EVT00000124,LOAD00000062,TRIP00000062,Delivery,FAC00014,"2022-01-03 07:10:14.063151","2022-01-03 06:19:14.783080",162,True,Philadelphia,PA
EVT00000125,LOAD00000063,TRIP00000063,Pickup,FAC00045,"2022-01-01 10:00:00.000000","2022-01-01 10:43:36.154859",165,True,Dallas,TX
EVT00000126,LOAD00000063,TRIP00000063,Delivery,FAC00006,"2022-01-01 23:37:36.154859","2022-01-02 01:55:47.933342",196,False,Denver,CO
EVT00000127,LOAD00000064,TRIP00000064,Pickup,FAC00028,"2022-01-01 12:00:00.000000","2022-01-01 14:06:53.882735",175,False,Seattle,WA
EVT00000128,LOAD00000064,TRIP00000064,Delivery,FAC00008,"2022-01-03 07:06:53.882735","2022-01-03 07:38:31.874033",81,True,Indianapolis,IN
EVT00000129,LOAD00000065,TRIP00000065,Pickup,FAC00012,"2022-01-01 15:00:00.000000","2022-01-01 17:51:42.881616",8,False,Houston,TX
EVT00000130,LOAD00000065,TRIP00000065,Delivery,FAC00049,"2022-01-02 04:39:42.881616","2022-01-02 04:18:55.080134",139,True,Memphis,TN
EVT00000131,LOAD00000066,TRIP00000066,Pickup,FAC00043,"2022-01-01 07:00:00.000000","2022-01-01 10:28:14.992574",133,False,Minneapolis,MN
EVT00000132,LOAD00000066,TRIP00000066,Delivery,FAC00047,"2022-01-02 07:34:14.992574","2022-01-02 04:42:07.611238",0,False,Atlanta,GA
EVT00000133,LOAD00000067,TRIP00000067,Pickup,FAC00009,"2022-01-01 11:00:00.000000","2022-01-01 14:10:03.426897",96,False,Columbus,OH
EVT00000134,LOAD00000067,TRIP00000067,Delivery,FAC00030,"2022-01-03 06:10:03.426897","2022-01-03 05:15:42.502952",158,True,"Los Angeles",CA
EVT00000135,LOAD00000068,TRIP00000068,Pickup,FAC00050,"2022-01-01 11:00:00.000000","2022-01-01 13:58:30.070888",32,False,Miami,FL
EVT00000136,LOAD00000068,TRIP00000068,Delivery,FAC00031,"2022-01-02 12:28:30.070888","2022-01-02 14:02:53.317157",0,True,Dallas,TX
EVT00000137,LOAD00000069,TRIP00000069,Pickup,FAC00029,"2022-01-01 17:00:00.000000","2022-01-01 17:15:17.952653",0,True,Miami,FL
EVT00000138,LOAD00000069,TRIP00000069,Delivery,FAC00001,"2022-01-03 10:45:17.952653","2022-01-03 09:10:04.116084",72,True,Denver,CO
EVT00000139,LOAD00000070,TRIP00000070,Pickup,FAC00028,"2022-01-01 08:00:00.000000","2022-01-01 10:14:01.149459",52,False,Phoenix,AZ
EVT00000140,LOAD00000070,TRIP00000070,Delivery,FAC00003,"2022-01-02 00:26:01.149459","2022-01-02 03:32:28.357242",211,False,Denver,CO
EVT00000141,LOAD00000071,TRIP00000071,Pickup,FAC00040,"2022-01-01 16:00:00.000000","2022-01-01 15:50:43.508029",10,True,Chicago,IL
EVT00000142,LOAD00000071,TRIP00000071,Delivery,FAC00018,"2022-01-02 04:20:43.508029","2022-01-02 04:38:59.346985",0,True,Charlotte,NC
EVT00000143,LOAD00000072,TRIP00000072,Pickup,FAC00014,"2022-01-02 08:00:00.000000","2022-01-02 08:43:16.247835",0,True,"Las Vegas",NV
EVT00000144,LOAD00000072,TRIP00000072,Delivery,FAC00014,"2022-01-04 03:43:16.247835","2022-01-04 07:08:51.886133",11,False,"New York",NY
EVT00000145,LOAD00000073,TRIP00000073,Pickup,FAC00048,"2022-01-02 18:00:00.000000","2022-01-02 18:38:44.095417",164,True,Portland,OR
EVT00000146,LOAD00000073,TRIP00000073,Delivery,FAC00036,"2022-01-04 08:38:44.095417","2022-01-04 10:56:09.586783",207,False,Detroit,MI
EVT00000147,LOAD00000074,TRIP00000074,Pickup,FAC00005,"2022-01-02 07:00:00.000000","2022-01-02 08:49:00.625747",0,True,Philadelphia,PA
EVT00000148,LOAD00000074,TRIP00000074,Delivery,FAC00025,"2022-01-04 12:25:00.625747","2022-01-04 15:56:38.623988",214,False,Seattle,WA
EVT00000149,LOAD00000075,TRIP00000075,Pickup,FAC00032,"2022-01-02 08:00:00.000000","2022-01-02 11:59:42.564073",43,False,Seattle,WA
EVT00000150,LOAD00000075,TRIP00000075,Delivery,FAC00019,"2022-01-04 03:53:42.564073","2022-01-04 07:55:55.253004",138,False,Houston,TX
EVT00000151,LOAD00000076,TRIP00000076,Pickup,FAC00029,"2022-01-02 17:00:00.000000","2022-01-02 18:13:43.332415",9,True,Columbus,OH
EVT00000152,LOAD00000076,TRIP00000076,Delivery,FAC00020,"2022-01-03 06:49:43.332415","2022-01-03 05:15:39.958356",73,True,"Kansas City",MO
EVT00000153,LOAD00000077,TRIP00000077,Pickup,FAC00002,"2022-01-02 06:00:00.000000","2022-01-02 07:08:20.109377",42,True,Columbus,OH
EVT00000154,LOAD00000077,TRIP00000077,Delivery,FAC00045,"2022-01-02 16:14:20.109377","2022-01-02 16:56:17.228584",195,True,Philadelphia,PA
EVT00000155,LOAD00000078,TRIP00000078,Pickup,FAC00042,"2022-01-02 08:00:00.000000","2022-01-02 10:49:45.989310",0,False,"Las Vegas",NV
EVT00000156,LOAD00000078,TRIP00000078,Delivery,FAC00026,"2022-01-02 15:31:45.989310","2022-01-02 19:43:46.099796",148,False,"Los Angeles",CA
EVT00000157,LOAD00000079,TRIP00000079,Pickup,FAC00033,"2022-01-02 18:00:00.000000","2022-01-02 21:00:53.839707",88,False,Miami,FL
EVT00000158,LOAD00000079,TRIP00000079,Delivery,FAC00024,"2022-01-03 18:00:53.839707","2022-01-03 21:11:10.182259",202,False,Dallas,TX
EVT00000159,LOAD00000080,TRIP00000080,Pickup,FAC00006,"2022-01-02 17:00:00.000000","2022-01-02 17:09:06.982666",166,True,Portland,OR
EVT00000160,LOAD00000080,TRIP00000080,Delivery,FAC00002,"2022-01-02 20:15:06.982666","2022-01-03 01:35:22.343710",58,False,Seattle,WA
EVT00000161,LOAD00000081,TRIP00000081,Pickup,FAC00013,"2022-01-02 09:00:00.000000","2022-01-02 08:21:21.326237",160,True,Chicago,IL
EVT00000162,LOAD00000081,TRIP00000081,Delivery,FAC00015,"2022-01-03 15:51:21.326237","2022-01-03 16:27:52.981003",0,True,"Las Vegas",NV
EVT00000163,LOAD00000082,TRIP00000082,Pickup,FAC00036,"2022-01-02 13:00:00.000000","2022-01-02 12:16:21.290862",155,True,Memphis,TN
EVT00000164,LOAD00000082,TRIP00000082,Delivery,FAC00001,"2022-01-03 05:04:21.290862","2022-01-03 05:03:18.321224",154,True,Minneapolis,MN
EVT00000165,LOAD00000083,TRIP00000083,Pickup,FAC00019,"2022-01-02 11:00:00.000000","2022-01-02 11:49:46.570593",69,True,Charlotte,NC
EVT00000166,LOAD00000083,TRIP00000083,Delivery,FAC00002,"2022-01-04 07:37:46.570593","2022-01-04 06:17:16.241873",21,True,Seattle,WA
EVT00000167,LOAD00000084,TRIP00000084,Pickup,FAC00015,"2022-01-02 18:00:00.000000","2022-01-02 17:30:42.411853",0,True,Atlanta,GA
EVT00000168,LOAD00000084,TRIP00000084,Delivery,FAC00038,"2022-01-03 06:54:42.411853","2022-01-03 05:22:25.976080",57,True,Chicago,IL
EVT00000169,LOAD00000085,TRIP00000085,Pickup,FAC00046,"2022-01-02 10:00:00.000000","2022-01-02 09:15:36.053215",51,True,Miami,FL
EVT00000170,LOAD00000085,TRIP00000085,Delivery,FAC00050,"2022-01-03 07:21:36.053215","2022-01-03 13:18:56.153562",9,False,Philadelphia,PA
EVT00000171,LOAD00000086,TRIP00000086,Pickup,FAC00045,"2022-01-02 14:00:00.000000","2022-01-02 13:04:23.783288",16,True,Houston,TX
EVT00000172,LOAD00000086,TRIP00000086,Delivery,FAC00030,"2022-01-03 22:16:23.783288","2022-01-04 02:53:42.430631",176,False,Portland,OR
EVT00000173,LOAD00000087,TRIP00000087,Pickup,FAC00025,"2022-01-02 15:00:00.000000","2022-01-02 15:01:11.495975",38,True,Houston,TX
EVT00000174,LOAD00000087,TRIP00000087,Delivery,FAC00019,"2022-01-02 23:55:11.495975","2022-01-03 02:00:09.762385",222,False,Memphis,TN
